#chan	code	gain	vt50	innse	comment
   0	     0	79.9	111.3	 635	OK
   1	     0	79.3	110.0	 646	OK
   2	     0	77.5	108.5	 658	OK
   3	     0	75.6	105.3	 640	OK
   4	     0	76.9	107.5	 656	OK
   5	     0	77.8	109.1	 640	OK
   6	     0	77.2	108.6	 655	OK
   7	     0	78.6	108.7	 662	OK
   8	     0	75.8	106.4	 651	OK
   9	     0	80.3	110.5	 652	OK
  10	     0	72.7	105.4	 662	OK
  11	     0	74.7	106.2	 665	OK
  12	     0	77.3	110.5	 664	OK
  13	     0	75.0	107.9	 664	OK
  14	     0	74.7	106.7	 659	OK
  15	     0	75.8	107.4	 661	OK
  16	     0	73.6	104.6	 664	OK
  17	     0	77.7	109.3	 660	OK
  18	     0	72.5	104.9	 664	OK
  19	     0	77.0	108.0	 664	OK
  20	     0	72.4	104.9	 669	OK
  21	     0	74.7	105.7	 681	OK
  22	     0	73.4	104.8	 667	OK
  23	     0	75.7	107.6	 656	OK
  24	     0	76.0	108.3	 668	OK
  25	     0	77.8	108.5	 676	OK
  26	     0	72.4	103.6	 677	OK
  27	     0	75.1	106.2	 687	OK
  28	     0	77.2	106.6	 664	OK
  29	     0	75.3	105.4	 669	OK
  30	     0	74.0	104.0	 689	OK
  31	     0	77.3	108.5	 659	OK
  32	     0	78.2	106.4	 681	OK
  33	     0	75.8	108.2	 691	OK
  34	     0	75.1	106.2	 670	OK
  35	     0	75.1	105.6	 671	OK
  36	     0	74.5	104.5	 670	OK
  37	     0	76.4	106.2	 685	OK
  38	     0	75.6	105.8	 694	OK
  39	     0	76.2	107.3	 680	OK
  40	     0	74.3	103.8	 682	OK
  41	     0	75.9	106.4	 678	OK
  42	     0	74.4	104.9	 702	OK
  43	     0	75.7	106.8	 677	OK
  44	     0	77.3	108.7	 693	OK
  45	     0	74.6	106.7	 701	OK
  46	     0	76.8	108.8	 693	OK
  47	     0	76.0	108.0	 682	OK
  48	     0	74.4	104.1	 669	OK
  49	     0	75.3	107.4	 679	OK
  50	     0	75.0	108.2	 687	OK
  51	     0	76.8	108.6	 680	OK
  52	     0	73.6	102.6	 677	OK
  53	     0	76.2	107.4	 681	OK
  54	     0	75.2	106.1	 698	OK
  55	     0	76.0	107.3	 677	OK
  56	     0	75.1	104.7	 685	OK
  57	     0	75.0	105.7	 688	OK
  58	     0	75.2	107.4	 677	OK
  59	     0	74.4	104.2	 689	OK
  60	     0	77.1	108.2	 693	OK
  61	     0	76.5	110.1	 695	OK
  62	     0	79.0	109.8	 687	OK
  63	     0	77.1	108.4	 709	OK
  64	     0	78.0	107.8	 677	OK
  65	     0	78.4	109.9	 685	OK
  66	     0	74.9	106.9	 686	OK
  67	     0	76.6	108.7	 677	OK
  68	     0	75.9	105.6	 695	OK
  69	     0	76.7	106.0	 684	OK
  70	     0	74.2	105.4	 700	OK
  71	     0	75.5	106.2	 681	OK
  72	     0	75.2	107.8	 692	OK
  73	     0	76.8	109.8	 677	OK
  74	     0	75.1	105.0	 682	OK
  75	     0	76.1	108.2	 679	OK
  76	     0	76.8	110.0	 693	OK
  77	     0	76.3	107.9	 674	OK
  78	     0	72.9	103.6	 693	OK
  79	     0	73.4	103.8	 688	OK
  80	     0	77.8	108.9	 678	OK
  81	     0	73.6	106.1	 671	OK
  82	     0	75.2	104.7	 684	OK
  83	     0	75.2	105.3	 701	OK
  84	     0	77.6	108.8	 681	OK
  85	     0	76.5	106.8	 686	OK
  86	     0	76.3	106.9	 668	OK
  87	     0	74.2	105.1	 668	OK
  88	     0	75.4	105.5	 686	OK
  89	     0	77.3	110.0	 673	OK
  90	     0	74.5	105.9	 691	OK
  91	     0	75.1	105.7	 688	OK
  92	     0	73.4	105.4	 671	OK
  93	     0	75.2	105.8	 693	OK
  94	     0	75.3	107.0	 673	OK
  95	     0	76.4	108.0	 680	OK
  96	     0	73.1	103.1	 699	OK
  97	     0	73.0	104.9	 688	OK
  98	     0	74.1	102.9	 670	OK
  99	     0	76.5	107.7	 678	OK
 100	     0	74.4	104.1	 664	OK
 101	     0	76.8	109.1	 680	OK
 102	     0	76.8	107.5	 675	OK
 103	     0	76.4	108.1	 669	OK
 104	     0	75.0	105.9	 673	OK
 105	     0	77.2	107.1	 674	OK
 106	     0	72.9	103.1	 674	OK
 107	     0	76.4	106.5	 684	OK
 108	     0	77.1	108.1	 675	OK
 109	     0	78.0	108.9	 691	OK
 110	     0	78.3	108.8	 672	OK
 111	     0	75.5	107.3	 664	OK
 112	     0	75.9	105.9	 686	OK
 113	     0	77.5	108.4	 677	OK
 114	     0	78.3	109.4	 685	OK
 115	     0	77.5	109.8	 669	OK
 116	     0	74.4	103.9	 675	OK
 117	     0	74.1	104.7	 682	OK
 118	     0	77.9	110.1	 676	OK
 119	     0	76.6	107.1	 674	OK
 120	     0	76.7	108.9	 660	OK
 121	     0	75.3	106.0	 667	OK
 122	     0	74.8	106.3	 659	OK
 123	     0	79.1	107.6	 658	OK
 124	     0	77.6	110.1	 659	OK
 125	     0	77.4	108.5	 684	OK
