#chan	code	gain	vt50	innse	comment
   0	     0	81.2	148.4	 642	OK
   1	     0	80.4	150.4	 646	OK
   2	     0	78.4	147.5	 646	OK
   3	     0	77.1	143.7	 641	OK
   4	     0	78.2	148.7	 649	OK
   5	     0	79.2	148.2	 650	OK
   6	     0	78.0	147.6	 660	OK
   7	     0	79.6	151.2	 652	OK
   8	     0	76.9	144.8	 634	OK
   9	     0	81.1	151.1	 654	OK
  10	     0	74.7	142.5	 648	OK
  11	     0	76.3	144.5	 680	OK
  12	     0	78.4	149.2	 664	OK
  13	     0	76.2	145.4	 643	OK
  14	     0	76.2	143.9	 654	OK
  15	     0	77.4	146.5	 658	OK
  16	     0	75.2	141.7	 658	OK
  17	     0	78.4	148.5	 670	OK
  18	     0	74.8	142.0	 657	OK
  19	     0	78.6	147.0	 643	OK
  20	     0	74.5	142.0	 672	OK
  21	     0	76.3	143.3	 662	OK
  22	     0	74.7	141.9	 665	OK
  23	     0	77.3	145.5	 653	OK
  24	     0	77.1	146.1	 659	OK
  25	     0	79.0	147.7	 677	OK
  26	     0	74.2	139.9	 661	OK
  27	     0	76.4	143.6	 676	OK
  28	     0	78.4	146.0	 665	OK
  29	     0	77.3	143.7	 678	OK
  30	     0	75.9	142.3	 677	OK
  31	     0	78.4	147.8	 688	OK
  32	     0	78.9	148.4	 666	OK
  33	     0	77.4	146.2	 672	OK
  34	     0	76.6	144.3	 675	OK
  35	     0	76.8	143.6	 675	OK
  36	     0	75.7	142.4	 649	OK
  37	     0	77.9	144.8	 674	OK
  38	     0	77.2	144.4	 676	OK
  39	     0	77.6	146.0	 684	OK
  40	     0	76.3	142.1	 675	OK
  41	     0	77.1	144.1	 702	OK
  42	     0	75.9	142.3	 681	OK
  43	     0	77.2	144.9	 688	OK
  44	     0	78.6	147.6	 686	OK
  45	     0	76.8	144.1	 687	OK
  46	     0	78.0	147.6	 701	OK
  47	     0	77.1	146.2	 673	OK
  48	     0	75.6	141.6	 699	OK
  49	     0	76.9	145.6	 680	OK
  50	     0	76.8	143.6	 692	OK
  51	     0	78.6	147.9	 690	OK
  52	     0	75.6	143.1	 681	OK
  53	     0	77.6	146.1	 685	OK
  54	     0	76.6	144.8	 701	OK
  55	     0	77.5	145.7	 690	OK
  56	     0	76.4	142.7	 686	OK
  57	     0	76.1	143.5	 692	OK
  58	     0	76.7	142.7	 681	OK
  59	     0	75.8	145.0	 679	OK
  60	     0	78.4	146.9	 685	OK
  61	     0	78.0	145.6	 695	OK
  62	     0	79.9	149.9	 694	OK
  63	     0	78.1	147.0	 695	OK
  64	     0	79.4	150.0	 676	OK
  65	     0	79.6	149.1	 693	OK
  66	     0	76.4	144.6	 684	OK
  67	     0	77.7	147.2	 662	OK
  68	     0	77.9	144.3	 676	OK
  69	     0	78.2	145.0	 683	OK
  70	     0	76.4	143.1	 696	OK
  71	     0	76.9	147.1	 691	OK
  72	     0	76.6	143.2	 693	OK
  73	     0	78.2	148.5	 693	OK
  74	     0	76.5	143.0	 690	OK
  75	     0	77.3	146.6	 680	OK
  76	     0	77.6	145.1	 685	OK
  77	     0	77.5	146.6	 671	OK
  78	     0	74.7	140.5	 687	OK
  79	     0	75.1	141.3	 687	OK
  80	     0	79.4	147.9	 678	OK
  81	     0	75.4	143.2	 682	OK
  82	     0	76.6	143.5	 685	OK
  83	     0	76.5	143.6	 682	OK
  84	     0	78.8	148.2	 674	OK
  85	     0	78.1	148.4	 670	OK
  86	     0	77.2	145.4	 676	OK
  87	     0	75.9	142.6	 690	OK
  88	     0	76.9	143.8	 674	OK
  89	     0	78.7	149.2	 678	OK
  90	     0	76.6	143.9	 680	OK
  91	     0	76.7	146.5	 679	OK
  92	     0	74.8	142.9	 675	OK
  93	     0	77.0	143.7	 686	OK
  94	     0	76.7	144.9	 688	OK
  95	     0	77.7	143.4	 685	OK
  96	     0	74.7	140.0	 676	OK
  97	     0	74.7	139.1	 698	OK
  98	     0	75.8	140.5	 682	OK
  99	     0	78.4	147.0	 669	OK
 100	     0	76.2	141.6	 672	OK
