#chan	code	gain	vt50	innse	comment
   0	     0	75.8	107.5	 608	OK
   1	     0	71.6	104.5	 619	OK
   2	     0	72.1	105.7	 616	OK
   3	     0	72.9	105.4	 600	OK
   4	     0	70.9	103.1	 639	OK
   5	     0	71.6	103.7	 622	OK
   6	     0	74.6	106.6	 629	OK
   7	     0	70.6	103.0	 647	OK
   8	     0	70.1	101.5	 626	OK
   9	     0	71.8	102.6	 629	OK
  10	     0	70.4	103.3	 620	OK
  11	     0	72.1	103.1	 644	OK
  12	     0	72.3	103.9	 649	OK
  13	     0	69.5	102.1	 660	OK
  14	     0	70.5	102.2	 672	OK
  15	     0	70.6	102.1	 669	OK
  16	     0	72.1	104.3	 680	OK
  17	     0	72.7	105.0	 660	OK
  18	     0	71.4	105.3	 680	OK
  19	     0	73.7	105.4	 664	OK
  20	     0	69.0	101.2	 670	OK
  21	     0	69.4	99.0	 685	OK
  22	     0	72.1	105.5	 668	OK
  23	     0	70.6	102.0	 675	OK
  24	     0	71.3	102.8	 672	OK
  25	     0	72.2	103.9	 682	OK
  26	     0	73.7	105.4	 663	OK
  27	     0	73.1	105.2	 685	OK
  28	     0	71.1	105.4	 668	OK
  29	     0	74.4	105.8	 683	OK
  30	     0	72.3	105.3	 667	OK
  31	     0	70.2	100.4	 662	OK
  32	     0	70.0	101.4	 668	OK
  33	     0	72.9	107.1	 668	OK
  34	     0	70.6	103.8	 679	OK
  35	     0	72.5	105.0	 675	OK
  36	     0	69.4	100.6	 684	OK
  37	     0	72.8	105.6	 666	OK
  38	     0	71.8	104.4	 685	OK
  39	     0	73.1	104.5	 677	OK
  40	     0	70.6	102.7	 693	OK
  41	     0	69.3	101.0	 671	OK
  42	     0	72.0	103.7	 676	OK
  43	     0	72.3	103.2	 680	OK
  44	     0	72.7	104.5	 665	OK
  45	     0	73.1	104.3	 674	OK
  46	     0	68.0	98.9	 663	OK
  47	     0	68.5	101.0	 674	OK
  48	     0	71.3	104.5	 685	OK
  49	     0	72.0	106.2	 664	OK
  50	     0	74.2	105.8	 669	OK
  51	     0	73.4	104.8	 686	OK
  52	     0	71.5	101.9	 676	OK
  53	     0	73.5	104.9	 690	OK
  54	     0	73.6	105.0	 681	OK
  55	     0	70.3	100.1	 694	OK
  56	     0	73.0	104.6	 699	OK
  57	     0	72.3	105.9	 647	OK
  58	     0	72.9	103.8	 683	OK
  59	     0	73.7	105.7	 686	OK
  60	     0	72.4	105.4	 670	OK
  61	     0	73.6	105.6	 687	OK
  62	     0	73.6	106.1	 668	OK
  63	     0	71.6	104.8	 664	OK
  64	     0	71.3	105.1	 657	OK
  65	     0	72.0	103.0	 671	OK
  66	     0	71.9	103.3	 669	OK
  67	     0	74.0	106.8	 667	OK
  68	     0	72.9	104.9	 666	OK
  69	     0	69.9	103.0	 658	OK
  70	     0	71.2	103.6	 651	OK
  71	     0	69.9	100.6	 685	OK
  72	     0	71.4	101.6	 674	OK
  73	     0	73.5	107.1	 675	OK
  74	     0	69.2	102.1	 673	OK
  75	     0	73.5	105.5	 670	OK
  76	     0	73.9	106.2	 682	OK
  77	     0	71.5	102.0	 656	OK
  78	     0	74.0	106.8	 660	OK
  79	     0	72.9	104.6	 683	OK
  80	     0	70.8	103.2	 677	OK
  81	     0	74.8	107.4	 652	OK
  82	     0	72.5	103.0	 668	OK
  83	     0	73.0	105.1	 674	OK
  84	     0	74.1	104.5	 656	OK
  85	     0	72.9	104.2	 673	OK
  86	     0	73.6	105.9	 682	OK
  87	     0	71.1	104.7	 686	OK
  88	     0	72.6	103.8	 673	OK
  89	     0	74.8	106.2	 654	OK
  90	     0	71.7	105.5	 668	OK
  91	     0	71.3	102.0	 662	OK
  92	     0	69.0	99.5	 679	OK
  93	     0	70.2	101.6	 654	OK
  94	     0	70.8	103.4	 661	OK
  95	     0	73.8	104.5	 676	OK
  96	     0	72.4	104.5	 674	OK
  97	     0	74.2	105.9	 665	OK
  98	     0	70.5	103.9	 673	OK
  99	     0	70.9	104.3	 654	OK
 100	     0	69.4	101.9	 676	OK
 101	     0	74.5	106.0	 654	OK
 102	     0	72.2	104.0	 665	OK
 103	     0	69.3	101.0	 659	OK
 104	     0	70.4	103.4	 648	OK
 105	     0	72.1	104.9	 672	OK
 106	     0	72.4	104.4	 648	OK
 107	     0	71.4	101.2	 670	OK
 108	     0	72.7	104.5	 656	OK
 109	     0	73.7	104.5	 662	OK
 110	     0	72.3	103.0	 652	OK
 111	     0	73.9	106.9	 680	OK
 112	     0	71.2	104.2	 669	OK
 113	     0	71.2	103.7	 664	OK
 114	     0	71.9	103.1	 666	OK
 115	     0	71.5	102.8	 669	OK
 116	     0	72.3	104.0	 667	OK
 117	     0	73.3	106.9	 665	OK
 118	     0	70.2	102.3	 652	OK
 119	     0	71.2	103.1	 652	OK
 120	     0	72.7	103.8	 665	OK
 121	     0	72.8	106.3	 663	OK
 122	     0	72.9	104.9	 671	OK
 123	     0	72.7	102.8	 647	OK
 124	     0	71.0	104.5	 674	OK
 125	     0	73.4	106.7	 658	OK
 126	     0	76.3	108.6	 664	OK
 127	     0	71.8	104.5	 655	OK
 128	     0	72.7	104.7	 664	OK
 129	     0	76.9	109.4	 684	OK
 130	     0	75.5	105.2	 662	OK
 131	     0	74.4	104.7	 672	OK
 132	     0	71.8	104.7	 682	OK
 133	     0	75.4	106.2	 675	OK
 134	     0	76.2	109.2	 659	OK
 135	     0	73.5	108.1	 658	OK
 136	     0	74.3	107.3	 655	OK
 137	     0	74.3	106.1	 654	OK
 138	     0	75.3	108.8	 664	OK
 139	     0	73.6	105.4	 667	OK
 140	     0	76.5	108.3	 661	OK
