#chan	code	gain	vt50	innse	comment
   0	     0	76.9	145.2	 593	OK
   1	     0	72.3	138.9	 627	OK
   2	     0	73.3	140.6	 627	OK
   3	     0	73.9	140.9	 618	OK
   4	     0	72.9	139.3	 605	OK
   5	     0	72.9	139.7	 629	OK
   6	     0	74.6	145.9	 632	OK
   7	     0	72.5	140.2	 627	OK
   8	     0	71.4	138.6	 647	OK
   9	     0	72.8	139.2	 649	OK
  10	     0	71.9	140.2	 656	OK
  11	     0	73.5	141.5	 634	OK
  12	     0	73.2	142.1	 668	OK
  13	     0	71.2	137.5	 643	OK
  14	     0	71.7	138.4	 645	OK
  15	     0	71.7	138.4	 660	OK
  16	     0	73.9	141.7	 659	OK
  17	     0	73.5	143.3	 665	OK
  18	     0	73.1	140.7	 671	OK
  19	     0	74.5	141.9	 683	OK
  20	     0	70.5	135.5	 683	OK
  21	     0	71.4	137.3	 670	OK
  22	     0	73.3	140.4	 673	OK
  23	     0	72.2	137.3	 669	OK
  24	     0	73.0	140.0	 674	OK
  25	     0	73.3	142.5	 674	OK
  26	     0	74.9	141.4	 678	OK
  27	     0	74.3	143.5	 683	OK
  28	     0	73.1	139.8	 676	OK
  29	     0	75.5	145.8	 693	OK
  30	     0	73.8	140.2	 653	OK
  31	     0	72.1	138.0	 695	OK
  32	     0	71.3	138.8	 678	OK
  33	     0	74.1	142.4	 682	OK
  34	     0	72.6	139.7	 662	OK
  35	     0	73.8	142.9	 665	OK
  36	     0	70.8	137.4	 671	OK
  37	     0	74.0	141.4	 662	OK
  38	     0	73.3	140.7	 676	OK
  39	     0	74.5	139.7	 683	OK
  40	     0	71.4	139.2	 680	OK
  41	     0	71.3	135.6	 681	OK
  42	     0	73.2	141.9	 667	OK
  43	     0	73.5	142.1	 653	OK
  44	     0	74.0	143.3	 683	OK
  45	     0	73.9	140.1	 670	OK
  46	     0	70.1	135.9	 675	OK
  47	     0	70.3	135.7	 691	OK
  48	     0	72.5	139.6	 681	OK
  49	     0	72.7	140.5	 689	OK
  50	     0	75.7	144.7	 696	OK
  51	     0	74.8	141.1	 685	OK
  52	     0	72.9	140.1	 673	OK
  53	     0	74.9	144.5	 686	OK
  54	     0	75.0	146.1	 682	OK
  55	     0	71.7	137.8	 688	OK
  56	     0	74.6	143.8	 689	OK
  57	     0	73.5	141.7	 672	OK
  58	     0	73.7	139.6	 683	OK
  59	     0	75.3	142.4	 681	OK
  60	     0	73.4	140.5	 679	OK
  61	     0	74.9	142.8	 678	OK
  62	     0	74.3	144.5	 691	OK
  63	     0	72.7	140.6	 695	OK
  64	     0	72.1	139.0	 670	OK
  65	     0	74.6	143.1	 669	OK
  66	     0	74.2	141.0	 685	OK
  67	     0	74.6	143.6	 673	OK
  68	     0	74.0	141.2	 688	OK
  69	     0	71.4	139.5	 669	OK
  70	     0	73.2	139.0	 673	OK
  71	     0	72.2	137.2	 676	OK
  72	     0	72.7	139.6	 685	OK
  73	     0	75.1	145.4	 671	OK
  74	     0	70.5	136.9	 676	OK
  75	     0	74.8	145.2	 669	OK
  76	     0	75.5	142.8	 692	OK
  77	     0	73.0	138.6	 680	OK
  78	     0	75.3	143.8	 685	OK
  79	     0	74.4	141.3	 690	OK
  80	     0	72.6	141.0	 676	OK
  81	     0	76.0	144.5	 673	OK
  82	     0	74.2	144.1	 659	OK
  83	     0	74.9	143.4	 669	OK
  84	     0	74.8	143.1	 688	OK
  85	     0	74.7	142.5	 682	OK
  86	     0	75.5	144.5	 670	OK
  87	     0	73.2	140.3	 660	OK
  88	     0	73.9	143.2	 673	OK
  89	     0	75.9	146.2	 654	OK
  90	     0	73.1	139.1	 671	OK
  91	     0	73.0	141.2	 641	OK
  92	     0	71.4	137.7	 661	OK
  93	     0	71.3	136.7	 667	OK
  94	     0	72.4	139.8	 668	OK
  95	     0	75.5	145.6	 678	OK
  96	     0	73.3	141.4	 665	OK
  97	     0	75.6	147.1	 678	OK
  98	     0	72.6	137.9	 660	OK
  99	     0	73.0	142.0	 674	OK
 100	     0	71.8	136.8	 662	OK
 101	     0	75.6	145.4	 696	OK
 102	     0	73.9	141.8	 672	OK
 103	     0	72.2	139.3	 656	OK
 104	     0	72.5	138.9	 663	OK
 105	     0	73.7	140.0	 668	OK
 106	     0	73.8	140.6	 663	OK
 107	     0	73.4	140.9	 647	OK
 108	     0	74.1	140.7	 667	OK
 109	     0	75.0	144.0	 654	OK
 110	     0	74.4	142.3	 670	OK
 111	     0	75.9	144.3	 682	OK
