#chan	code	gain	vt50	innse	comment
   0	     4	80.0	114.2	3330	inefficient
   1	     4	77.1	99.7	3642	inefficient
   2	     4	78.9	130.3	2478	inefficient
   3	     4	76.0	111.9	3055	inefficient
   4	     4	79.2	137.9	2089	inefficient
   5	     4	81.0	146.1	1975	inefficient
   6	     4	78.6	128.0	2395	inefficient
   7	     4	74.0	83.7	3459	inefficient
   8	     4	77.3	126.4	2392	inefficient
   9	     4	81.8	132.0	2265	inefficient
  10	     4	74.0	113.7	2787	inefficient
  11	     4	77.0	126.2	2324	inefficient
  12	     4	76.4	105.7	3090	inefficient
  13	     4	78.3	140.8	1859	inefficient
  14	     4	76.6	122.0	2453	inefficient
  15	     4	78.4	129.9	2143	inefficient
  16	     4	75.4	123.2	2418	inefficient
  17	     4	79.9	137.1	1950	inefficient
  18	     4	76.6	137.0	1954	inefficient
  19	     4	79.1	125.6	2315	inefficient
  20	     4	75.6	130.3	2090	inefficient
  21	     4	76.7	122.1	2407	inefficient
  22	     4	75.8	128.6	2132	inefficient
  23	     4	77.3	120.3	2475	inefficient
  24	     4	77.0	121.0	2523	inefficient
  25	     4	77.1	107.4	2987	inefficient
  26	     4	70.9	93.5	3315	inefficient
  27	     4	78.6	138.7	1905	inefficient
  28	     4	79.9	134.8	1967	inefficient
  29	     4	78.1	131.0	2076	inefficient
  30	     4	74.4	107.2	2987	inefficient
  31	     4	80.0	136.0	1926	inefficient
  32	     4	80.0	132.4	2019	inefficient
  33	     4	79.8	144.6	1791	inefficient
  34	     4	78.7	142.3	1828	inefficient
  35	     4	77.2	126.5	2178	inefficient
  36	     4	72.0	90.4	3311	inefficient
  37	     4	80.1	140.6	1828	inefficient
  38	     4	77.7	123.9	2343	inefficient
  39	     4	78.7	134.2	1946	inefficient
  40	     4	76.3	119.1	2505	inefficient
  41	     4	78.5	133.0	2031	inefficient
  42	     4	73.3	96.1	3218	inefficient
  43	     4	77.9	128.6	2142	inefficient
  44	     4	80.6	139.5	1881	inefficient
  45	     4	78.4	136.1	1926	inefficient
  46	     4	79.4	132.6	2007	inefficient
  47	     4	76.3	112.3	2748	inefficient
  48	     4	76.4	125.2	2236	inefficient
  49	     4	76.1	114.2	2742	inefficient
  50	     4	77.3	125.7	2191	inefficient
  51	     4	79.2	127.5	2268	inefficient
  52	     4	76.5	127.2	2156	inefficient
  53	     4	79.5	141.3	1825	inefficient
  54	     4	77.6	129.9	2056	inefficient
  55	     4	77.7	123.3	2371	inefficient
  56	     4	77.9	134.0	1917	inefficient
  57	     4	74.7	108.5	2881	inefficient
  58	     4	75.4	109.3	2874	inefficient
  59	     4	74.8	110.0	2894	inefficient
  60	     4	79.7	135.8	1999	inefficient
  61	     4	81.1	151.2	1766	inefficient
  62	     4	80.5	133.8	1998	inefficient
  63	     4	79.5	132.7	1991	inefficient
  64	     4	80.2	131.0	2055	inefficient
  65	     4	77.5	106.3	2948	inefficient
  66	     4	77.4	129.6	2059	inefficient
  67	     4	80.0	139.5	1861	inefficient
  68	     4	77.5	115.2	2648	inefficient
  69	     4	74.8	92.0	3199	inefficient
  70	 80000	79.3	160.7	1734	very high noise
  71	     4	79.8	145.9	1687	inefficient
  72	     4	75.0	109.1	2824	inefficient
  73	     4	78.9	129.2	2018	inefficient
  74	     4	77.8	132.3	1887	inefficient
  75	     4	79.4	141.4	1731	inefficient
  76	     4	79.4	137.2	1776	inefficient
  77	     4	78.8	130.7	1960	inefficient
  78	     4	74.1	114.7	2569	inefficient
  79	     4	76.3	129.9	1933	inefficient
  80	     4	79.9	125.4	2167	inefficient
  81	     4	76.7	131.9	1897	inefficient
  82	     4	74.9	106.6	2858	inefficient
  83	     4	74.2	102.1	2988	inefficient
  84	     4	80.5	136.9	1841	inefficient
  85	     4	73.5	88.4	3177	inefficient
  86	     4	74.2	97.0	3131	inefficient
  87	     4	77.3	131.5	1889	inefficient
  88	     4	78.1	132.1	1920	inefficient
  89	     4	74.6	92.2	3163	inefficient
  90	     4	77.5	130.6	1902	inefficient
  91	     4	73.7	95.0	3170	inefficient
  92	     4	76.2	131.9	1859	inefficient
  93	     4	77.3	122.8	2259	inefficient
  94	     4	75.2	109.5	2859	inefficient
  95	     4	78.6	130.4	2052	inefficient
  96	     4	75.5	128.0	1968	inefficient
  97	     4	75.6	126.3	2041	inefficient
  98	     4	76.4	127.9	2020	inefficient
  99	     4	80.2	139.2	1761	inefficient
 100	     4	74.5	106.4	2881	inefficient
 101	     4	77.1	112.2	2662	inefficient
 102	     4	79.8	138.4	1814	inefficient
 103	     4	79.1	130.6	1976	inefficient
 104	     4	77.5	132.0	1894	inefficient
 105	     4	79.4	129.5	2101	inefficient
 106	     4	75.1	122.3	2377	inefficient
 107	     4	75.9	108.7	2895	inefficient
 108	     4	77.1	111.4	2808	inefficient
 109	     4	80.4	136.1	1929	inefficient
 110	     4	79.9	127.0	2288	inefficient
 111	     4	77.6	128.3	2191	inefficient
 112	     4	77.9	126.6	2249	inefficient
 113	     4	78.2	120.2	2550	inefficient
 114	     4	80.8	138.2	1917	inefficient
 115	 80000	81.7	160.6	1796	very high noise
 116	     4	75.8	119.1	2591	inefficient
 117	     4	75.7	118.0	2617	inefficient
 118	     4	79.3	126.6	2250	inefficient
 119	     4	79.0	137.2	1979	inefficient
 120	     4	76.4	110.1	2976	inefficient
 121	     4	74.9	110.9	2845	inefficient
 122	     4	76.8	128.2	2146	inefficient
 123	     4	80.2	125.6	2355	inefficient
 124	     4	79.4	129.7	2107	inefficient
 125	     4	79.1	132.2	2102	inefficient
 126	     4	77.3	126.2	2314	inefficient
 127	     4	81.9	139.5	1933	inefficient
 128	     4	71.4	93.6	3372	inefficient
 129	     4	75.9	118.0	2699	inefficient
 130	     4	74.3	120.0	2593	inefficient
 131	     4	73.7	110.1	2979	inefficient
 132	     4	76.5	128.2	2333	inefficient
 133	     4	74.1	130.3	2197	inefficient
 134	     4	71.4	116.7	2726	inefficient
 135	     4	71.5	114.6	2739	inefficient
 136	     4	71.5	115.5	2830	inefficient
 137	     4	73.5	114.4	2851	inefficient
 138	 80000	75.7	167.4	1876	very high noise
 139	     4	71.8	112.3	2920	inefficient
 140	     4	73.3	121.5	2566	inefficient
 141	     4	70.2	106.0	3133	inefficient
 142	     4	70.5	106.1	3137	inefficient
 143	     4	70.5	99.3	3177	inefficient
 144	     4	72.2	113.3	2843	inefficient
 145	     4	70.9	112.3	2905	inefficient
 146	     4	71.2	109.3	2995	inefficient
 147	 80000	73.4	173.4	1945	very high noise
 148	     4	70.8	106.8	3076	inefficient
 149	     4	67.1	92.4	3389	inefficient
 150	     4	68.8	106.3	3044	inefficient
 151	     4	69.0	89.6	3450	inefficient
 152	     4	70.8	117.9	2724	inefficient
 153	     4	70.3	107.1	3086	inefficient
 154	     4	68.1	85.0	3496	inefficient
 155	     4	66.4	83.6	3476	inefficient
 156	     4	69.3	110.5	2956	inefficient
 157	     4	70.2	111.1	2988	inefficient
 158	     4	67.5	103.3	3165	inefficient
 159	     4	71.8	119.5	2712	inefficient
 160	     4	69.8	108.0	3059	inefficient
 161	     4	68.5	102.8	3221	inefficient
 162	     4	69.0	83.0	3436	inefficient
 163	     4	70.3	106.3	3165	inefficient
 164	     4	71.3	115.3	2756	inefficient
 165	     4	71.6	111.6	2948	inefficient
 166	     4	69.5	99.4	3263	inefficient
 167	     4	66.1	92.1	3409	inefficient
 168	 80000	76.1	156.6	1887	very high noise
 169	     4	74.4	120.8	2692	inefficient
 170	     4	71.9	115.9	2829	inefficient
 171	     4	74.1	120.6	2618	inefficient
 172	     4	69.1	109.2	3087	inefficient
 173	     4	70.9	117.4	2752	inefficient
 174	     4	73.5	126.6	2352	inefficient
 175	     4	70.1	100.5	3291	inefficient
 176	     4	70.5	101.9	3173	inefficient
 177	     4	73.0	119.0	2681	inefficient
 178	     4	73.6	116.6	2783	inefficient
 179	     4	72.2	123.0	2515	inefficient
 180	     4	69.0	107.3	3031	inefficient
 181	     4	71.4	114.7	2747	inefficient
 182	     4	74.8	116.3	2870	inefficient
 183	     4	72.4	115.6	2797	inefficient
 184	     4	66.3	97.1	3217	inefficient
 185	     4	70.4	111.1	2855	inefficient
 186	     4	72.0	113.8	2856	inefficient
 187	     4	68.4	92.0	3313	inefficient
 188	     4	71.0	109.6	3010	inefficient
 189	     4	73.9	124.6	2436	inefficient
 190	     4	74.8	124.7	2403	inefficient
 191	     4	73.9	122.8	2435	inefficient
 192	     4	73.0	125.2	2283	inefficient
 193	     4	72.4	127.0	2199	inefficient
 194	     4	70.0	99.1	3208	inefficient
 195	     4	72.3	112.5	2863	inefficient
 196	     4	71.6	113.7	2782	inefficient
 197	     4	71.9	106.5	3012	inefficient
 198	     4	72.0	118.3	2521	inefficient
 199	     4	69.4	106.9	2991	inefficient
 200	     4	69.1	95.2	3277	inefficient
 201	     4	63.3	62.5	3331	inefficient
 202	     4	70.8	115.2	2658	inefficient
 203	     4	69.5	106.7	2926	inefficient
 204	     4	72.2	119.3	2469	inefficient
 205	     4	71.1	113.8	2650	inefficient
 206	     4	69.7	108.7	2793	inefficient
 207	     4	71.6	117.0	2479	inefficient
 208	     4	72.1	131.2	1952	inefficient
 209	     4	71.5	118.1	2485	inefficient
 210	     4	70.1	112.4	2662	inefficient
 211	     4	71.1	109.5	2811	inefficient
 212	     4	72.1	126.7	2032	inefficient
 213	     4	73.5	120.8	2375	inefficient
 214	     4	70.7	102.1	2988	inefficient
 215	     4	70.5	111.9	2779	inefficient
 216	     4	66.8	105.9	2923	inefficient
 217	     4	71.5	126.2	2037	inefficient
 218	     4	71.0	119.4	2390	inefficient
 219	     4	69.1	94.3	3166	inefficient
 220	     4	71.1	119.1	2412	inefficient
 221	     4	70.0	109.3	2768	inefficient
 222	     4	72.4	119.4	2415	inefficient
 223	     4	71.1	108.5	2858	inefficient
 224	     4	71.6	125.8	2206	inefficient
 225	     4	69.6	107.8	2899	inefficient
 226	     4	67.8	112.4	2889	inefficient
 227	     4	73.6	120.7	2632	inefficient
 228	     4	69.8	114.5	2674	inefficient
 229	     4	72.3	113.1	2465	inefficient
 230	     4	70.8	117.7	2256	inefficient
 231	     4	71.2	121.9	2050	inefficient
 232	     4	69.7	104.9	2817	inefficient
 233	     4	73.5	119.0	2277	inefficient
 234	     4	69.8	109.6	2674	inefficient
 235	     4	71.8	119.4	2151	inefficient
 236	     4	66.2	80.7	3180	inefficient
 237	     4	70.0	112.8	2521	inefficient
 238	     4	73.3	130.4	1780	inefficient
 239	     4	73.3	118.6	2243	inefficient
 240	     4	72.3	110.8	2629	inefficient
 241	     4	73.0	123.2	2020	inefficient
 242	     4	64.4	65.5	3191	inefficient
 243	     4	72.0	121.1	2141	inefficient
 244	     4	73.5	121.6	2065	inefficient
 245	     4	70.7	116.1	2318	inefficient
 246	     4	71.5	122.8	1979	inefficient
 247	     4	68.6	97.0	3039	inefficient
 248	     4	71.2	126.7	1819	inefficient
 249	     4	72.1	107.5	2741	inefficient
 250	     4	71.4	114.3	2483	inefficient
 251	     4	72.0	115.5	2637	inefficient
 252	     4	72.8	121.1	2430	inefficient
 253	     4	73.4	124.7	2090	inefficient
 254	     4	66.9	77.5	3273	inefficient
 255	     4	71.7	110.7	2626	inefficient
 256	     4	84.2	148.0	1519	inefficient
 257	     4	82.3	140.2	1539	inefficient
 258	     4	83.3	144.1	1526	inefficient
 259	     0	85.3	154.5	1489	OK
 260	     0	86.3	152.3	1467	OK
 261	     4	84.3	147.4	1492	inefficient
 262	     4	81.3	124.2	1912	inefficient
 263	     4	82.4	134.2	1583	inefficient
 264	     4	82.6	146.3	1490	inefficient
 265	     4	80.9	125.3	1837	inefficient
 266	     4	80.0	122.4	1924	inefficient
 267	     0	82.8	182.9	1490	OK
 268	     4	84.5	140.8	1536	inefficient
 269	     4	83.2	145.2	1506	inefficient
 270	     4	83.6	142.0	1514	inefficient
 271	     4	86.3	149.9	1468	inefficient
 272	     4	81.7	133.4	1622	inefficient
 273	     4	84.8	138.9	1554	inefficient
 274	     4	81.0	117.7	2154	inefficient
 275	     4	82.6	135.7	1614	inefficient
 276	     4	78.4	102.9	2745	inefficient
 277	     4	82.4	137.5	1592	inefficient
 278	     4	82.1	138.4	1571	inefficient
 279	     4	79.8	124.7	1892	inefficient
 280	     4	81.6	128.7	1740	inefficient
 281	     4	81.7	137.8	1562	inefficient
 282	     4	82.6	141.2	1519	inefficient
 283	     0	85.4	175.6	1495	OK
 284	     4	83.3	124.8	1921	inefficient
 285	     4	83.6	141.4	1533	inefficient
 286	     4	82.3	136.8	1568	inefficient
 287	     4	80.8	139.6	1538	inefficient
 288	     4	81.8	141.9	1537	inefficient
 289	     4	81.3	125.9	1866	inefficient
 290	     4	81.3	122.4	1955	inefficient
 291	     0	83.1	157.3	1485	OK
 292	     4	83.9	143.4	1535	inefficient
 293	     0	79.3	196.4	1569	OK
 294	     4	87.3	146.3	1540	inefficient
 295	     0	85.4	148.9	1503	OK
 296	     4	81.5	131.7	1645	inefficient
 297	     0	82.1	186.9	1549	OK
 298	     4	81.4	127.0	1882	inefficient
 299	     4	80.2	135.2	1609	inefficient
 300	     4	81.1	139.1	1582	inefficient
 301	     4	80.0	137.9	1575	inefficient
 302	     4	84.2	148.4	1568	inefficient
 303	     4	81.6	113.2	2475	inefficient
 304	     4	83.9	140.5	1629	inefficient
 305	     4	79.3	114.3	2359	inefficient
 306	     4	81.3	128.8	1805	inefficient
 307	     4	79.9	128.3	1796	inefficient
 308	     4	81.5	139.2	1627	inefficient
 309	     4	79.5	120.4	2140	inefficient
 310	     4	80.3	144.1	1558	inefficient
 311	     4	80.6	123.3	2061	inefficient
 312	     4	80.8	139.4	1590	inefficient
 313	     4	83.0	145.1	1580	inefficient
 314	     4	83.4	136.6	1687	inefficient
 315	     4	82.1	141.4	1632	inefficient
 316	     4	83.0	145.5	1605	inefficient
 317	     4	79.0	113.9	2551	inefficient
 318	     4	81.1	126.9	1948	inefficient
 319	     4	84.0	143.2	1640	inefficient
 320	     0	81.7	175.5	1580	OK
 321	     4	80.5	123.5	2119	inefficient
 322	     4	81.0	142.8	1629	inefficient
 323	     0	80.3	143.3	1597	OK
 324	     4	78.9	141.6	1634	inefficient
 325	     0	80.4	155.7	1608	OK
 326	     4	81.9	140.0	1659	inefficient
 327	     4	80.0	133.7	1741	inefficient
 328	     4	81.9	141.0	1675	inefficient
 329	     4	80.8	140.2	1628	inefficient
 330	     0	81.8	156.8	1596	OK
 331	     4	79.5	133.2	1745	inefficient
 332	     4	82.4	146.4	1617	inefficient
 333	     4	82.6	145.2	1616	inefficient
 334	     4	80.5	138.2	1654	inefficient
 335	     4	79.8	138.1	1664	inefficient
 336	     4	82.7	145.0	1608	inefficient
 337	     0	82.6	142.9	1581	OK
 338	     4	81.2	147.6	1619	inefficient
 339	     4	81.3	142.0	1645	inefficient
 340	     4	79.7	137.8	1669	inefficient
 341	     0	81.5	155.5	1579	OK
 342	     0	83.7	162.1	1585	OK
 343	     4	82.9	142.8	1598	inefficient
 344	     0	79.9	184.3	1620	OK
 345	     4	83.6	143.1	1655	inefficient
 346	     4	81.9	148.3	1613	inefficient
 347	     4	79.8	134.5	1712	inefficient
 348	     4	77.5	110.0	2705	inefficient
 349	     4	79.6	138.1	1672	inefficient
 350	     4	80.4	136.5	1764	inefficient
 351	     4	79.8	136.7	1768	inefficient
 352	     4	79.1	134.0	1959	inefficient
 353	     4	82.2	145.1	1828	inefficient
 354	     4	78.6	132.1	2097	inefficient
 355	     4	79.6	129.2	2254	inefficient
 356	     4	78.6	138.7	2015	inefficient
 357	     4	77.0	121.1	2604	inefficient
 358	     4	77.6	123.6	2553	inefficient
 359	     4	80.3	142.8	2004	inefficient
 360	     4	81.5	144.8	2030	inefficient
 361	     4	79.1	135.3	2253	inefficient
 362	     4	77.2	129.6	2430	inefficient
 363	     4	81.2	143.7	2095	inefficient
 364	     4	75.1	107.0	3197	inefficient
 365	     4	78.1	135.2	2322	inefficient
 366	 80000	82.3	169.2	1989	very high noise
 367	     4	77.5	117.5	2902	inefficient
 368	     4	80.4	147.6	2114	inefficient
 369	     4	79.6	132.6	2418	inefficient
 370	     4	79.5	131.8	2446	inefficient
 371	     4	79.7	134.0	2486	inefficient
 372	     4	77.3	128.4	2571	inefficient
 373	     4	77.7	116.2	3053	inefficient
 374	     4	79.3	139.0	2248	inefficient
 375	     4	80.1	136.4	2365	inefficient
 376	     4	78.4	132.5	2513	inefficient
 377	     4	75.4	117.1	2977	inefficient
 378	     4	75.2	111.6	3158	inefficient
 379	     4	77.2	121.6	2856	inefficient
 380	     4	77.0	107.7	3277	inefficient
 381	     4	74.2	95.4	3427	inefficient
 382	     4	73.3	99.5	3391	inefficient
 383	     4	76.1	111.7	3222	inefficient
 384	     4	78.3	124.0	2980	inefficient
 385	     4	76.5	136.6	2444	inefficient
 386	     4	75.1	119.8	3008	inefficient
 387	     4	76.4	118.0	3097	inefficient
 388	     4	77.4	131.8	2683	inefficient
 389	     4	76.1	112.7	3261	inefficient
 390	     4	76.4	116.1	3164	inefficient
 391	     4	75.9	99.4	3507	inefficient
 392	     4	75.8	109.2	3364	inefficient
 393	     4	78.5	130.4	2702	inefficient
 394	     4	78.5	156.8	2204	inefficient
 395	     4	75.0	118.3	3083	inefficient
 396	     4	73.6	110.3	3395	inefficient
 397	     4	79.1	140.6	2388	inefficient
 398	     4	80.8	134.1	2625	inefficient
 399	     4	76.2	121.3	3017	inefficient
 400	     4	78.3	125.5	2908	inefficient
 401	     4	76.2	122.7	2916	inefficient
