#chan	code	gain	vt50	innse	comment
   0	     0	80.3	108.1	 644	OK
   1	     0	79.5	110.5	 643	OK
   2	     0	77.7	110.9	 637	OK
   3	     0	75.4	105.2	 643	OK
   4	     0	76.9	107.1	 638	OK
   5	     0	77.5	109.0	 645	OK
   6	     0	77.1	108.3	 651	OK
   7	     0	78.8	111.8	 660	OK
   8	     0	75.2	106.3	 654	OK
   9	     0	80.2	110.9	 664	OK
  10	     0	73.2	105.3	 657	OK
  11	     0	75.2	106.5	 659	OK
  12	     0	77.4	107.6	 663	OK
  13	     0	74.7	107.4	 644	OK
  14	     0	74.7	106.0	 665	OK
  15	     0	75.9	107.7	 664	OK
  16	     0	73.4	104.3	 669	OK
  17	     0	77.4	109.3	 655	OK
  18	     0	73.0	102.1	 687	OK
  19	     0	76.9	108.2	 653	OK
  20	     0	72.4	105.0	 666	OK
  21	     0	74.4	105.8	 659	OK
  22	     0	73.1	104.7	 671	OK
  23	     0	75.6	104.1	 648	OK
  24	     0	75.5	107.5	 662	OK
  25	     0	77.4	108.2	 677	OK
  26	     0	72.1	103.9	 670	OK
  27	     0	75.2	105.9	 678	OK
  28	     0	77.3	109.8	 691	OK
  29	     0	75.8	105.8	 672	OK
  30	     0	74.8	106.6	 677	OK
  31	     0	77.4	108.6	 661	OK
  32	     0	77.7	109.0	 683	OK
  33	     0	75.8	105.3	 665	OK
  34	     0	75.3	105.7	 668	OK
  35	     0	74.7	105.3	 691	OK
  36	     0	74.9	104.4	 662	OK
  37	     0	76.4	106.2	 691	OK
  38	     0	75.6	105.4	 694	OK
  39	     0	76.0	106.7	 698	OK
  40	     0	74.3	103.9	 670	OK
  41	     0	75.7	106.0	 679	OK
  42	     0	74.7	104.5	 692	OK
  43	     0	75.6	106.3	 675	OK
  44	     0	77.5	108.5	 670	OK
  45	     0	74.7	106.1	 699	OK
  46	     0	76.8	108.4	 698	OK
  47	     0	76.2	107.6	 671	OK
  48	     0	74.6	104.2	 684	OK
  49	     0	74.9	107.4	 687	OK
  50	     0	75.6	105.1	 672	OK
  51	     0	77.1	108.5	 673	OK
  52	     0	73.7	105.4	 683	OK
  53	     0	76.3	107.3	 671	OK
  54	     0	75.8	106.4	 684	OK
  55	     0	75.9	107.1	 701	OK
  56	     0	74.8	107.6	 693	OK
  57	     0	75.1	105.3	 689	OK
  58	     0	75.4	107.4	 702	OK
  59	     0	74.7	106.9	 682	OK
  60	     0	77.1	108.2	 708	OK
  61	     0	77.0	106.9	 689	OK
  62	     0	79.0	109.9	 695	OK
  63	     0	77.1	108.2	 680	OK
  64	     0	78.1	110.6	 675	OK
  65	     0	78.5	109.7	 686	OK
  66	     0	74.3	106.4	 700	OK
  67	     0	76.3	108.7	 694	OK
  68	     0	75.8	105.8	 690	OK
  69	     0	76.6	109.3	 679	OK
  70	     0	74.7	105.1	 673	OK
  71	     0	75.6	105.9	 692	OK
  72	     0	75.2	107.9	 689	OK
  73	     0	76.2	106.7	 683	OK
  74	     0	75.1	107.8	 677	OK
  75	     0	75.8	108.0	 695	OK
  76	     0	76.6	106.5	 681	OK
  77	     0	75.9	107.7	 678	OK
  78	     0	73.2	103.5	 685	OK
  79	     0	73.8	103.9	 694	OK
  80	     0	77.7	108.7	 693	OK
  81	     0	73.6	105.9	 697	OK
  82	     0	74.9	107.4	 688	OK
  83	     0	75.1	105.1	 694	OK
  84	     0	77.6	108.7	 675	OK
  85	     0	76.6	106.7	 681	OK
  86	     0	76.0	107.0	 692	OK
  87	     0	74.1	105.0	 681	OK
  88	     0	75.4	105.5	 684	OK
  89	     0	77.3	109.9	 667	OK
  90	     0	74.9	105.6	 674	OK
  91	     0	75.4	105.4	 666	OK
  92	     0	73.4	105.3	 686	OK
  93	     0	75.6	105.0	 670	OK
  94	     0	75.5	109.6	 700	OK
  95	     0	76.6	108.1	 672	OK
  96	     0	72.9	103.0	 706	OK
  97	     0	72.8	105.1	 686	OK
  98	     0	73.6	102.9	 689	OK
  99	     0	76.8	108.1	 671	OK
 100	     0	74.4	106.1	 674	OK
 101	     0	77.0	108.7	 668	OK
 102	     0	76.5	107.2	 678	OK
 103	     0	76.3	108.0	 670	OK
 104	     0	74.8	105.7	 679	OK
 105	     0	76.9	107.3	 678	OK
 106	     0	72.9	103.2	 687	OK
 107	     0	75.8	106.2	 684	OK
 108	     0	76.8	107.4	 679	OK
 109	     0	78.0	108.6	 669	OK
 110	     0	78.1	108.5	 672	OK
 111	     0	75.6	107.3	 664	OK
 112	     0	75.9	108.9	 668	OK
 113	     0	77.5	107.9	 675	OK
 114	     0	78.0	109.2	 680	OK
 115	     0	77.2	109.1	 680	OK
 116	     0	74.6	103.6	 674	OK
 117	     0	74.3	104.2	 667	OK
 118	     0	78.0	106.8	 657	OK
 119	     0	76.5	106.8	 686	OK
 120	     0	77.0	105.4	 677	OK
 121	     0	74.9	105.4	 678	OK
 122	     0	74.9	105.8	 690	OK
 123	     0	78.9	110.0	 668	OK
 124	     0	77.6	109.7	 673	OK
 125	     0	77.0	108.2	 663	OK
 126	     0	75.4	105.4	 688	OK
 127	     0	80.0	111.3	 654	OK
 128	     0	72.8	103.2	 687	OK
 129	     0	74.5	104.0	 676	OK
 130	     0	73.0	101.7	 691	OK
 131	     0	73.3	105.1	 680	OK
 132	     0	74.5	105.9	 686	OK
 133	     0	71.2	102.7	 698	OK
 134	     0	69.7	100.3	 695	OK
 135	     0	70.0	100.8	 684	OK
 136	     0	69.5	100.4	 687	OK
 137	     0	72.4	105.0	 687	OK
 138	     0	71.4	101.5	 680	OK
 139	     0	70.1	100.7	 695	OK
 140	     0	71.7	100.0	 672	OK
 141	     0	69.6	99.4	 683	OK
 142	     0	69.4	100.0	 685	OK
 143	     0	70.1	101.7	 687	OK
 144	     0	70.8	100.6	 691	OK
 145	     0	69.7	99.8	 692	OK
 146	     0	70.7	101.7	 697	OK
 147	     0	69.6	98.6	 691	OK
 148	     0	69.7	100.8	 696	OK
 149	     0	67.6	97.3	 691	OK
 150	     0	67.8	97.1	 672	OK
 151	     0	70.8	101.3	 680	OK
 152	     0	68.7	98.7	 706	OK
 153	     0	70.1	100.2	 667	OK
 154	     0	71.1	102.1	 703	OK
 155	     0	69.3	100.4	 698	OK
 156	     0	67.5	100.0	 690	OK
 157	     0	68.6	97.8	 704	OK
 158	     0	66.8	97.5	 701	OK
 159	     0	70.4	99.6	 685	OK
 160	     0	68.8	100.2	 719	OK
 161	     0	68.2	98.2	 682	OK
 162	     0	73.1	102.0	 697	OK
 163	     0	70.1	103.0	 691	OK
 164	     0	69.4	100.4	 685	OK
 165	     0	69.8	99.5	 702	OK
 166	     0	69.6	101.6	 685	OK
 167	     0	66.9	97.5	 671	OK
 168	     0	71.6	102.6	 700	OK
 169	     0	73.1	101.8	 689	OK
 170	     0	70.8	102.2	 710	OK
 171	     0	72.5	101.9	 692	OK
 172	     0	67.8	97.0	 687	OK
 173	     0	68.8	100.9	 684	OK
 174	     0	71.3	102.5	 684	OK
 175	     0	70.3	101.3	 692	OK
 176	     0	70.0	100.8	 698	OK
 177	     0	71.3	100.8	 707	OK
 178	     0	72.1	101.6	 702	OK
 179	     0	69.7	101.9	 700	OK
 180	     0	68.1	97.2	 702	OK
 181	     0	69.9	100.7	 694	OK
 182	     0	73.5	103.4	 696	OK
 183	     0	71.6	102.2	 696	OK
 184	     0	66.5	96.5	 688	OK
 185	     0	69.0	97.7	 699	OK
 186	     0	70.8	102.1	 712	OK
 187	     0	70.2	102.0	 690	OK
 188	     0	70.2	100.1	 709	OK
 189	     0	71.7	103.4	 705	OK
 190	     0	73.2	104.1	 697	OK
 191	     0	71.7	102.6	 692	OK
 192	     0	70.7	101.7	 692	OK
 193	     0	70.1	100.4	 693	OK
 194	     0	71.0	103.2	 704	OK
 195	     0	71.4	103.9	 693	OK
 196	     0	69.8	98.4	 706	OK
 197	     0	71.5	102.6	 701	OK
 198	     0	69.3	98.6	 694	OK
 199	     0	68.3	99.9	 694	OK
 200	     0	69.5	102.2	 715	OK
 201	     0	70.7	102.0	 702	OK
 202	     0	68.7	98.8	 692	OK
 203	     0	68.3	97.9	 683	OK
 204	     0	69.9	101.4	 700	OK
 205	     0	69.5	101.1	 691	OK
 206	     0	68.0	98.1	 692	OK
 207	     0	69.5	99.5	 681	OK
 208	     0	68.8	100.9	 684	OK
 209	     0	69.4	101.0	 690	OK
 210	     0	68.4	99.3	 687	OK
 211	     0	69.7	101.4	 692	OK
 212	     0	69.4	99.4	 674	OK
 213	     0	71.9	102.0	 686	OK
 214	     0	70.8	102.1	 682	OK
 215	     0	68.9	100.1	 674	OK
 216	     0	65.2	97.7	 685	OK
 217	     0	68.5	101.5	 683	OK
 218	     0	68.7	98.3	 699	OK
 219	     0	70.4	100.3	 674	OK
 220	     0	69.0	99.0	 664	OK
 221	     0	68.8	98.9	 665	OK
 222	     0	70.9	102.1	 675	OK
 223	     0	70.5	102.1	 680	OK
 224	     0	68.8	99.3	 666	OK
 225	     0	68.2	101.0	 654	OK
 226	     0	65.6	96.0	 691	OK
 227	     0	71.9	105.1	 661	OK
 228	     0	67.9	99.4	 662	OK
 229	     0	70.7	100.3	 653	OK
 230	     0	68.5	100.5	 645	OK
 231	     0	68.1	99.3	 657	OK
 232	     0	68.9	100.1	 649	OK
 233	     0	71.6	103.3	 642	OK
 234	     0	68.7	99.1	 667	OK
 235	     0	69.1	100.1	 638	OK
 236	     0	69.0	100.8	 649	OK
 237	     0	68.0	99.1	 652	OK
 238	     0	69.7	99.8	 645	OK
 239	     0	71.5	104.0	 654	OK
 240	     0	71.2	102.3	 659	OK
 241	     0	70.3	103.4	 646	OK
 242	     0	70.7	101.6	 648	OK
 243	     0	70.1	102.0	 633	OK
 244	     0	71.3	103.5	 652	OK
 245	     0	68.2	99.5	 666	OK
 246	     0	69.2	99.2	 643	OK
 247	     0	69.1	100.0	 645	OK
 248	     0	68.1	99.4	 670	OK
 249	     0	71.6	100.3	 643	OK
 250	     0	70.3	102.3	 661	OK
 251	     0	70.6	102.2	 637	OK
 252	     0	71.2	102.6	 665	OK
 253	     0	71.2	100.9	 630	OK
 254	     0	70.8	102.3	 663	OK
 255	     0	70.2	102.1	 694	OK
 256	     0	81.0	111.7	 591	OK
 257	     0	80.0	114.9	 603	OK
 258	     0	80.6	111.4	 592	OK
 259	     0	82.3	114.6	 611	OK
 260	     0	82.8	114.8	 587	OK
 261	     0	82.1	114.4	 598	OK
 262	     0	82.1	114.6	 602	OK
 263	     0	81.3	113.0	 604	OK
 264	     0	79.7	110.6	 612	OK
 265	     0	81.2	115.4	 585	OK
 266	     0	80.6	112.6	 608	OK
 267	     0	81.9	113.4	 615	OK
 268	     0	83.0	115.7	 615	OK
 269	     0	80.6	111.6	 605	OK
 270	     0	81.4	115.7	 615	OK
 271	     0	83.1	116.1	 613	OK
 272	     0	80.5	113.4	 599	OK
 273	     0	83.5	117.3	 596	OK
 274	     0	81.9	113.4	 590	OK
 275	     0	81.0	112.2	 619	OK
 276	     0	80.2	111.7	 636	OK
 277	     0	80.3	113.4	 605	OK
 278	     0	79.9	111.1	 617	OK
 279	     0	79.6	110.3	 600	OK
 280	     0	81.3	112.3	 633	OK
 281	     0	79.6	110.8	 612	OK
 282	     0	80.4	111.5	 603	OK
 283	     0	83.5	116.1	 624	OK
 284	     0	84.4	114.6	 601	OK
 285	     0	81.7	114.0	 615	OK
 286	     0	80.4	111.3	 602	OK
 287	     0	78.2	110.7	 619	OK
 288	     0	78.8	109.6	 604	OK
 289	     0	81.4	113.9	 621	OK
 290	     0	81.7	113.3	 609	OK
 291	     0	79.2	112.4	 601	OK
 292	     0	81.3	112.9	 629	OK
 293	     0	80.9	114.0	 612	OK
 294	     0	85.3	116.9	 630	OK
 295	     0	82.4	113.9	 619	OK
 296	     0	81.2	113.6	 619	OK
 297	     0	81.7	114.2	 627	OK
 298	     0	81.3	113.4	 606	OK
 299	     0	77.8	111.1	 626	OK
 300	     0	78.6	112.3	 619	OK
 301	     0	77.3	111.4	 631	OK
 302	     0	81.2	112.7	 631	OK
 303	     0	83.9	115.4	 606	OK
 304	     0	82.2	113.1	 627	OK
 305	     0	80.2	112.3	 602	OK
 306	     0	80.3	111.3	 626	OK
 307	     0	79.2	111.7	 618	OK
 308	     0	79.0	109.2	 621	OK
 309	     0	80.3	111.1	 608	OK
 310	     0	76.8	110.1	 627	OK
 311	     0	80.7	112.5	 633	OK
 312	     0	78.2	109.8	 612	OK
 313	     0	80.3	114.4	 619	OK
 314	     0	81.8	114.4	 621	OK
 315	     0	79.2	112.0	 616	OK
 316	     0	80.2	112.1	 640	OK
 317	     0	79.6	112.3	 611	OK
 318	     0	80.8	113.7	 626	OK
 319	     0	81.9	115.3	 618	OK
 320	     0	80.2	114.1	 607	OK
 321	     0	80.7	112.5	 608	OK
 322	     0	78.1	110.6	 610	OK
 323	     0	76.8	108.4	 615	OK
 324	     0	75.6	107.8	 619	OK
 325	     0	76.9	108.7	 611	OK
 326	     0	80.6	112.6	 619	OK
 327	     0	78.0	110.0	 616	OK
 328	     0	79.4	111.4	 617	OK
 329	     0	78.3	110.3	 614	OK
 330	     0	78.1	109.2	 609	OK
 331	     0	78.4	111.1	 621	OK
 332	     0	79.9	113.2	 628	OK
 333	     0	79.9	112.3	 627	OK
 334	     0	77.8	108.2	 637	OK
 335	     0	77.0	110.1	 622	OK
 336	     0	79.7	109.9	 619	OK
 337	     0	80.2	111.7	 625	OK
 338	     0	77.8	109.7	 614	OK
 339	     0	78.5	112.2	 620	OK
 340	     0	76.8	110.6	 620	OK
 341	     0	78.1	111.4	 617	OK
 342	     0	79.8	113.4	 616	OK
 343	     0	80.4	111.9	 624	OK
 344	     0	78.1	108.8	 616	OK
 345	     0	80.7	113.2	 619	OK
 346	     0	79.2	112.3	 623	OK
 347	     0	78.5	111.7	 615	OK
 348	     0	77.8	110.9	 626	OK
 349	     0	77.5	109.3	 604	OK
 350	     0	78.2	110.7	 633	OK
 351	     0	78.2	111.4	 629	OK
 352	     0	77.4	108.6	 620	OK
 353	     0	80.2	112.6	 633	OK
 354	     0	76.8	108.7	 633	OK
 355	     0	78.8	111.0	 632	OK
 356	     0	77.1	109.4	 647	OK
 357	     0	76.5	109.7	 632	OK
 358	     0	77.4	107.6	 620	OK
 359	     0	78.8	112.4	 634	OK
 360	     0	80.2	112.4	 635	OK
 361	     0	77.9	111.1	 641	OK
 362	     0	76.8	109.3	 627	OK
 363	     0	79.6	111.1	 636	OK
 364	     0	77.0	109.4	 626	OK
 365	     0	77.2	107.9	 617	OK
 366	     0	80.1	111.3	 633	OK
 367	     0	78.4	110.9	 625	OK
 368	     0	79.2	109.1	 624	OK
 369	     0	78.9	109.0	 641	OK
 370	     0	79.6	111.0	 611	OK
 371	     0	79.4	110.1	 647	OK
 372	     0	76.6	106.4	 626	OK
 373	     0	79.2	110.7	 638	OK
 374	     0	77.7	110.5	 642	OK
 375	     0	79.2	111.6	 613	OK
 376	     0	78.2	109.6	 635	OK
 377	     0	76.0	107.5	 641	OK
 378	     0	76.6	105.8	 631	OK
 379	     0	78.0	109.7	 639	OK
 380	     0	79.5	110.3	 653	OK
 381	     0	77.6	109.3	 649	OK
 382	     0	76.5	108.6	 627	OK
 383	     0	77.8	109.0	 635	OK
 384	     0	79.9	112.5	 674	OK
 385	     0	75.5	107.2	 681	OK
 386	     0	74.9	108.0	 672	OK
 387	     0	77.3	110.4	 692	OK
 388	     0	76.7	108.7	 680	OK
 389	     0	78.2	111.3	 668	OK
 390	     0	77.5	110.4	 655	OK
 391	     0	79.4	111.9	 648	OK
 392	     0	78.0	109.2	 666	OK
 393	     0	78.5	110.2	 672	OK
 394	     0	76.8	109.6	 652	OK
 395	     0	76.1	107.2	 670	OK
 396	     0	74.7	106.9	 672	OK
 397	     0	78.5	111.5	 658	OK
 398	     0	80.8	112.5	 665	OK
 399	     0	77.1	110.0	 658	OK
 400	     0	79.1	112.7	 655	OK
 401	     0	76.7	107.5	 654	OK
 402	     0	75.8	107.9	 661	OK
 403	     0	74.4	106.6	 666	OK
 404	     0	77.1	108.0	 651	OK
 405	     0	76.0	105.1	 647	OK
 406	     0	78.0	109.6	 655	OK
 407	     0	74.7	107.3	 653	OK
 408	     0	77.5	109.9	 664	OK
 409	     0	72.8	106.2	 660	OK
 410	     0	76.4	108.9	 662	OK
 411	     0	79.5	113.4	 662	OK
 412	     0	75.7	107.6	 671	OK
 413	     0	76.2	109.0	 642	OK
 414	     0	78.0	110.4	 641	OK
 415	     0	75.2	108.2	 637	OK
 416	     0	75.5	108.4	 638	OK
 417	     0	76.8	108.5	 676	OK
 418	     0	77.5	110.0	 645	OK
 419	     0	76.0	106.7	 653	OK
 420	     0	75.5	106.4	 635	OK
 421	     0	75.5	109.1	 655	OK
 422	     0	76.8	107.6	 659	OK
 423	     0	75.9	108.4	 659	OK
 424	     0	76.2	107.7	 642	OK
 425	     0	75.4	107.2	 657	OK
 426	     0	75.0	107.1	 640	OK
 427	     0	76.3	108.7	 649	OK
 428	     0	76.2	107.8	 643	OK
 429	     0	76.0	107.8	 626	OK
 430	     0	72.9	104.2	 671	OK
 431	     0	75.6	108.6	 641	OK
 432	     0	73.0	105.1	 669	OK
 433	     0	74.7	107.2	 641	OK
 434	     0	77.2	110.9	 634	OK
 435	     0	76.1	107.9	 637	OK
 436	     0	74.4	107.3	 642	OK
 437	     0	75.0	106.5	 634	OK
 438	     0	77.0	109.7	 632	OK
 439	     0	77.8	108.5	 634	OK
 440	     0	76.2	108.0	 667	OK
 441	     0	76.9	109.6	 637	OK
 442	     0	76.7	108.4	 633	OK
 443	     0	74.9	106.1	 654	OK
 444	     0	76.1	107.7	 645	OK
 445	     0	73.3	105.9	 651	OK
 446	     0	75.6	106.1	 635	OK
 447	     0	76.8	108.8	 637	OK
 448	     0	73.3	104.4	 634	OK
 449	     0	74.6	107.0	 634	OK
 450	     0	72.4	103.3	 630	OK
 451	     0	74.0	107.4	 640	OK
 452	     0	73.0	105.7	 641	OK
 453	     0	72.0	104.6	 643	OK
 454	     0	74.0	106.2	 642	OK
 455	     0	75.4	106.4	 627	OK
 456	     0	74.2	104.7	 641	OK
 457	     0	76.1	109.7	 626	OK
 458	     0	73.1	103.8	 624	OK
 459	     0	75.3	106.5	 642	OK
 460	     0	73.8	106.5	 641	OK
 461	     0	73.9	106.0	 635	OK
 462	     0	76.2	108.7	 637	OK
 463	     0	71.9	102.7	 632	OK
 464	     0	73.9	104.1	 656	OK
 465	     0	74.9	106.8	 657	OK
 466	     0	73.3	106.7	 640	OK
 467	     0	73.3	105.8	 639	OK
 468	     0	74.7	106.4	 648	OK
 469	     0	73.6	107.0	 625	OK
 470	     0	74.4	104.4	 635	OK
