#chan	code	gain	vt50	innse	comment
   0	 80000	65.2	91.5	3111	very high noise
   1	 80000	65.3	99.3	3232	very high noise
   2	     4	69.8	96.6	3049	inefficient
   3	 80000	68.0	96.2	2941	very high noise
   4	 80000	70.5	100.4	2742	very high noise
   5	 80000	70.7	100.4	2601	very high noise
   6	 80000	71.7	99.4	2488	very high noise
   7	 80000	71.2	96.1	2374	very high noise
   8	 80000	70.3	98.4	2232	very high noise
   9	 90000	42.7	76.7	1857	very low gain
  10	 80000	71.5	99.0	2325	very high noise
  11	 80000	69.0	95.8	2684	very high noise
  12	 80000	70.2	95.5	2733	very high noise
  13	 80000	69.9	99.6	2715	very high noise
  14	 80000	70.3	100.0	2457	very high noise
  15	 80000	72.6	100.7	2385	very high noise
  16	     4	67.8	81.6	2995	inefficient
  17	     4	67.3	100.5	3185	inefficient
  18	     4	65.9	92.6	3249	inefficient
  19	 80000	65.9	94.7	3287	very high noise
  20	     4	67.2	93.0	3258	inefficient
  21	     4	66.4	98.2	3353	inefficient
  22	 80000	64.4	93.0	3284	very high noise
  23	     4	65.5	82.9	3274	inefficient
  24	     4	66.3	101.1	3229	inefficient
  25	 80000	66.0	96.2	3150	very high noise
  26	     4	68.7	82.4	2935	inefficient
  27	 80000	72.7	99.3	2531	very high noise
  28	 80000	74.4	104.1	2325	very high noise
  29	 80000	70.9	98.2	2724	very high noise
  30	 80000	66.8	92.3	2900	very high noise
  31	 80000	66.2	95.3	2944	very high noise
  32	 80000	69.2	99.5	2934	very high noise
  33	 80000	67.3	95.7	2932	very high noise
  34	 80000	69.3	96.5	2933	very high noise
  35	     4	70.0	88.2	2942	inefficient
  36	 80000	69.8	105.3	2902	very high noise
  37	     4	66.6	95.2	2997	inefficient
  38	 80000	69.9	97.1	2976	very high noise
  39	 80000	67.0	97.7	2956	very high noise
  40	     4	69.8	91.7	2920	inefficient
  41	 80000	70.0	96.0	2606	very high noise
  42	 80000	71.2	102.3	2279	very high noise
  43	     4	71.6	87.9	2594	inefficient
  44	     4	68.9	96.2	2834	inefficient
  45	     4	67.0	92.9	2925	inefficient
  46	 80000	66.0	93.3	2941	very high noise
  47	 80000	68.6	94.7	2931	very high noise
  48	 80000	69.5	96.2	2952	very high noise
  49	 80000	71.0	97.4	2987	very high noise
  50	 80000	69.9	97.3	2980	very high noise
  51	 80000	68.3	93.2	2953	very high noise
  52	 80000	68.2	94.5	2928	very high noise
  53	     4	69.0	91.7	2906	inefficient
  54	 80000	68.1	94.0	2891	very high noise
  55	     4	71.4	96.1	2900	inefficient
  56	 80000	70.1	98.4	2784	very high noise
  57	     4	75.3	61.0	2455	inefficient
  58	 80000	72.4	100.5	2081	very high noise
  59	 80000	76.6	106.5	2025	very high noise
  60	 80000	75.1	100.0	2011	very high noise
  61	 80000	70.9	95.7	2112	very high noise
  62	 80000	70.3	100.3	2471	very high noise
  63	 80000	71.3	100.6	2570	very high noise
  64	 80000	72.4	99.9	2617	very high noise
  65	 80000	71.4	100.0	2574	very high noise
  66	 80000	71.3	91.9	2630	very high noise
  67	 80000	69.1	95.9	2628	very high noise
  68	 80000	68.6	98.1	2641	very high noise
  69	 80000	74.6	106.6	2597	very high noise
  70	 80000	72.0	98.7	2622	very high noise
  71	 80000	72.6	96.0	2641	very high noise
  72	 80000	70.4	99.7	2630	very high noise
  73	 80000	67.1	93.7	2671	very high noise
  74	 80000	72.6	99.1	2660	very high noise
  75	 80000	70.1	103.8	2710	very high noise
  76	 80000	70.6	108.3	2655	very high noise
  77	 80000	71.2	99.4	2701	very high noise
  78	 80000	69.5	98.1	2634	very high noise
  79	 80000	68.5	96.4	2679	very high noise
  80	 80000	68.6	96.0	2719	very high noise
  81	 80000	71.7	97.2	2711	very high noise
  82	 80000	71.2	99.1	2717	very high noise
  83	 80000	71.6	97.7	2718	very high noise
  84	 80000	71.1	97.5	2708	very high noise
  85	 80000	70.0	98.2	2771	very high noise
  86	 80000	72.0	98.0	2689	very high noise
  87	     4	71.7	96.9	2760	inefficient
  88	 80000	72.5	99.3	2762	very high noise
  89	 80000	70.5	98.1	2786	very high noise
  90	 80000	69.5	96.3	2756	very high noise
  91	 80000	70.0	106.9	2744	very high noise
  92	 80000	69.0	96.6	2697	very high noise
  93	 80000	70.4	99.7	2657	very high noise
  94	 80000	73.7	102.7	2673	very high noise
  95	     4	71.7	93.5	2715	inefficient
  96	 80000	69.2	97.5	2699	very high noise
  97	 80000	74.4	94.9	2645	very high noise
  98	 80000	73.7	97.5	2484	very high noise
  99	 80000	72.5	97.5	2329	very high noise
 100	 80000	70.3	95.9	2457	very high noise
 101	 80000	72.7	100.9	2627	very high noise
 102	 80000	70.6	97.5	2685	very high noise
 103	 80000	72.1	97.6	2701	very high noise
 104	 80000	72.8	101.6	2715	very high noise
 105	 80000	71.6	98.2	2695	very high noise
 106	 80000	69.3	91.4	2650	very high noise
 107	 80000	71.2	99.2	2705	very high noise
 108	 80000	70.0	98.9	2750	very high noise
 109	 80000	73.8	102.2	2683	very high noise
